course_title,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
SP TOP: PHYS ED,PHED,392N,,,Science SI,School of Science SI,3,120
TEACH CONTENT AREA LITERACY,MSED,630L,,,MS Education BE,MS Education BE,3,121
ENGLISH INTERN,ENG,495N,,,Liberal Arts LA,School of Liberal Arts LA,2,122
GOVT & NON-PROFIT ACCT,ACCT,451N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,123
SENIOR SEMINAR II,CRJU,477L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '374L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,124
PRIN PROB/COACHNG,PHED,410N,,,Science SI,School of Science SI,3,125
SOC FOUND OF EDUC,MSED,640L,,,MS Education BE,MS Education BE,3,126
WRITING FOR COLLEGE-HONORS,ENGH,120L,,,Liberal Arts LA,School of Liberal Arts LA,3,127
SOC PSYC OF MODERN LIV+LAB,PSYC,307L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,4,128
CLIN MICRO BIO I,MEDT,301N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '312L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Medical Technology', '260N', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,4,129
INTRO TO JOURNALISM,COM,242L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'English', '117L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-ESOL', '117L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '120L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-Honors', '120L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-ESOL', '120L', 'Undergraduate', 'D', ')']]",Communication and The Arts CO,School Communication Arts CO,3,130
CRITICAL INQUIRY II,PHTH,610N,,,Dr Physical Therapy PT,Dr. Physical Therapy PT,3,131
DATA-BASED DEC MAKING,MSED,680L,,,MS Education BE,MS Education BE,3,132
CUR ISSUES ACCT,ACCT,477N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Accounting', '403N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,133
INTERN CRJU,CRJU,495N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,1,134
ADVANCED HUMAN PHYS,BIOL,440L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,4,135
CHILD DEVELOPMENT,PSYC,317L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,136
WRITING FOR COLLEGE,IENG,140L,,,Liberal Arts LA,School of Liberal Arts LA,4,137
INTRO CLINICAL DECISION MAKING,PHTH,611N,,,Dr Physical Therapy PT,Dr. Physical Therapy PT,2,138
ORGANIC AGRICULTURE,AGR,230L,,,Science SI,School of Science SI,3,139
MARKETING FOUNDTN,MBA,525N,,,MBA MB,MBA MB,3,140
